max_adverse_pct,t_max_adverse,max_favourable_pct,t_max_favourable,end_ret_pct,adverse1_before_fav1,symbol,date,cohort,option_type,minute,action
-4.633956386292848,3,0.0,14,-0.5451713395638658,True,NIFTY,2026-08-19,11D_SHAPED_1500_1519,CE,15:05,BREAK_EXIT
-5.141269106067625,3,4.075961093098646,16,-1.11162575266327,True,NIFTY,2026-08-19,11D_SHAPED_1500_1519,PE,15:00,BREAK_EXIT
0.0,1,5.158002038735976,13,1.7125382262996869,False,NIFTY,2026-08-19,CLOSING_1515_1529,CE,15:15,BREAK_EXIT
-5.550541516245488,11,0.0,1,-2.9557761732852073,True,NIFTY,2026-08-19,CLOSING_1515_1529,PE,15:17,PREPARE_EXIT
-10.184063937999511,2,0.0,10,-1.5621215790748377,True,SENSEX,2026-08-19,11D_SHAPED_1500_1519,CE,15:04,PREPARE_EXIT
-5.42710784992384,3,8.888273570538562,15,2.0628547694863775,True,SENSEX,2026-08-19,11D_SHAPED_1500_1519,PE,15:00,PREPARE_EXIT
-0.0789785441621893,1,7.779386599973659,13,3.554034487297608,False,SENSEX,2026-08-19,CLOSING_1515_1529,CE,15:15,BREAK_EXIT
-6.824494114535118,11,0.0,6,-5.012564475598458,True,SENSEX,2026-08-19,CLOSING_1515_1529,PE,15:17,BREAK_EXIT
-9.533417402269862,11,0.0,4,-6.784363177805797,True,NIFTY,2026-08-20,11D_SHAPED_1500_1519,CE,15:00,PREPARE_EXIT
-2.3649556570814356,1,1.2362268207471105,7,1.2362268207471105,True,NIFTY,2026-08-20,11D_SHAPED_1500_1519,PE,15:12,BREAK_EXIT
-6.4369658119658,5,0.0,1,-4.246794871794868,True,NIFTY,2026-08-20,CLOSING_1515_1529,CE,15:18,BREAK_EXIT
-0.3899142188718341,6,1.0137769690668152,1,-0.2599428125812375,False,NIFTY,2026-08-20,CLOSING_1515_1529,PE,15:22,PREPARE_EXIT
-31.80076628352492,10,10.089399744572125,1,-30.39591315453385,False,SENSEX,2026-08-20,11D_SHAPED_1500_1519,CE,15:01,BREAK_EXIT
0.0,3,48.05864784143359,11,32.120553896280214,False,SENSEX,2026-08-20,11D_SHAPED_1500_1519,PE,15:00,BREAK_EXIT
-57.04697986577182,8,18.34451901565992,1,-35.533184190902325,False,SENSEX,2026-08-20,CLOSING_1515_1529,CE,15:16,BREAK_EXIT
-90.29663147310207,12,56.41025641025643,7,-90.29663147310207,False,SENSEX,2026-08-20,CLOSING_1515_1529,PE,15:17,BREAK_EXIT
-0.8870692596383511,2,2.115319003752991,4,0.13647219379051556,False,NIFTY,2026-08-21,11D_SHAPED_1500_1519,CE,15:03,PREPARE_EXIT
-2.013621557595502,2,2.724311519099798,14,1.006810778797762,True,NIFTY,2026-08-21,11D_SHAPED_1500_1519,PE,15:00,BREAK_EXIT
-3.886805318786235,11,0.13637913399251467,4,-1.4319809069212375,True,NIFTY,2026-08-21,CLOSING_1515_1529,CE,15:17,PREPARE_EXIT
-3.398345153664306,5,1.7434988179669153,2,-1.3297872340425565,False,NIFTY,2026-08-21,CLOSING_1515_1529,PE,15:15,BREAK_EXIT
-1.4644485837240762,7,1.0726443573768174,15,1.0726443573768174,True,SENSEX,2026-08-21,11D_SHAPED_1500_1519,CE,15:04,PREPARE_EXIT
-2.3794348842149926,8,0.941859641668441,14,0.2549394518801984,True,SENSEX,2026-08-21,11D_SHAPED_1500_1519,PE,15:00,PREPARE_EXIT
-2.108453156231871,8,0.4320072216132509,1,-1.2379908440260712,True,SENSEX,2026-08-21,CLOSING_1515_1529,CE,15:20,BREAK_EXIT
-1.377882487327764,11,1.7419861497822486,2,-0.5140286999357535,False,SENSEX,2026-08-21,CLOSING_1515_1529,PE,15:15,BREAK_EXIT
-10.912698412698418,16,32.53968253968256,12,10.813492063492047,False,NIFTY,2026-08-25,11D_SHAPED_1500_1519,CE,15:00,BREAK_EXIT
-52.25334957369061,17,0.0,4,-52.25334957369061,True,NIFTY,2026-08-25,11D_SHAPED_1500_1519,PE,15:02,PREPARE_EXIT
-13.152804642166348,1,227.4661508704062,13,226.78916827852996,True,NIFTY,2026-08-25,CLOSING_1515_1529,CE,15:15,BREAK_EXIT
-97.82178217821782,11,0.0,1,-97.82178217821782,True,NIFTY,2026-08-25,CLOSING_1515_1529,PE,15:17,BREAK_EXIT
-0.866235068842891,1,15.765478252940635,19,15.765478252940635,False,SENSEX,2026-08-25,11D_SHAPED_1500_1519,CE,15:00,BREAK_EXIT
-11.552863436123351,17,0.0,6,-11.552863436123351,True,SENSEX,2026-08-25,11D_SHAPED_1500_1519,PE,15:02,BREAK_EXIT
0.0,2,14.5385450597177,6,12.225841476655797,False,SENSEX,2026-08-25,CLOSING_1515_1529,CE,15:15,BREAK_EXIT
-12.29187071498531,13,1.0284035259549462,1,-12.29187071498531,False,SENSEX,2026-08-25,CLOSING_1515_1529,PE,15:16,PREPARE_EXIT
-10.17039403620874,14,0.0,1,-5.111821086261992,True,NIFTY,2026-08-27,11D_SHAPED_1500_1519,CE,15:03,PREPARE_EXIT
-1.3555291319857332,1,13.412604042806176,15,4.970273483947674,True,NIFTY,2026-08-27,11D_SHAPED_1500_1519,PE,15:00,BREAK_EXIT
-17.337318923890543,13,5.035640377098183,4,-16.256610715106913,False,NIFTY,2026-08-27,CLOSING_1515_1529,CE,15:15,PREPARE_EXIT
-7.235772357723569,2,22.4119241192412,10,20.08130081300814,True,NIFTY,2026-08-27,CLOSING_1515_1529,PE,15:17,PREPARE_EXIT
-39.565741857659845,7,0.0,13,-20.989143546441504,True,SENSEX,2026-08-27,11D_SHAPED_1500_1519,CE,15:02,PREPARE_EXIT
0.0,1,61.724608043626475,14,20.927062031356503,False,SENSEX,2026-08-27,11D_SHAPED_1500_1519,PE,15:00,BREAK_EXIT
-95.28816199376948,10,9.267912772585674,1,-94.8208722741433,False,SENSEX,2026-08-27,CLOSING_1515_1529,CE,15:17,BREAK_EXIT
0.0,4,456.07344632768365,12,364.2090395480227,False,SENSEX,2026-08-27,CLOSING_1515_1529,PE,15:15,BREAK_EXIT
-6.542056074766345,2,27.073598130841138,12,18.75000000000002,True,NIFTY,2026-08-28,11D_SHAPED_1500_1519,CE,15:00,BREAK_EXIT
-25.608856088560895,8,1.1808118081180874,1,-22.853628536285353,False,NIFTY,2026-08-28,11D_SHAPED_1500_1519,PE,15:04,PREPARE_EXIT
-1.8677807815187908,3,10.715163430818397,6,3.588105185549284,True,NIFTY,2026-08-28,CLOSING_1515_1529,CE,15:15,PREPARE_EXIT
-18.40255591054313,12,0.191693290734829,3,-13.64217252396166,True,NIFTY,2026-08-28,CLOSING_1515_1529,PE,15:16,BREAK_EXIT
-4.068022674224736,2,21.347115705235066,12,18.55285095031678,True,SENSEX,2026-08-28,11D_SHAPED_1500_1519,CE,15:00,BREAK_EXIT
-20.943134535367548,11,1.1904761904761862,1,-19.330790568654642,False,SENSEX,2026-08-28,11D_SHAPED_1500_1519,PE,15:04,PREPARE_EXIT
0.0,11,8.584716749563981,2,0.2325431173696879,False,SENSEX,2026-08-28,CLOSING_1515_1529,CE,15:18,BREAK_EXIT
