date,time,symbol,direction,event_type,strength,mode,expiry_day,option,passed_gates,reasons,categories,cf_active_exit_pct,cf_exit_reason,mfe_pct,mae_pct,fut_mfe_after_det,fut_mae_after_det,timing,status,option_response_pct
2026-09-18,15:07:05,NIFTY,DOWN,MOMENTUM_EVENT,WEAK,MODE_A,False,PE 23350,False,WEAK_MOMENTUM,confirmation,0.247,EVENT_INVALIDATED,8.395,0.062,12.0,-8.0,DETECTED_EARLY,MISSED PROFITABLE OPPORTUNITY,2.535
2026-09-18,15:08:05,NIFTY,DOWN,MOMENTUM_EVENT,WEAK,MODE_A,False,PE 23350,False,WEAK_MOMENTUM,confirmation,1.602,MOMENTUM_FADE,4.214,-1.958,11.0,0.0,DETECTED_LATE,PROFITABLE BUT LATE,3.994
2026-09-18,15:09:35,NIFTY,DOWN,CONTINUATION_EVENT,STRONG,MODE_A,False,PE 23350,True,-,-,-0.172,MOMENTUM_FAILURE,0.92,-5.345,5.0,-8.8,DETECTED_LATE,TRADED,9.886
2026-09-18,15:12:10,NIFTY,DOWN,MOMENTUM_EVENT,WEAK,MODE_A,False,PE 23400,False,WEAK_MOMENTUM;OPTION_NOT_RESPONDING,confirmation,-0.857,EVENT_INVALIDATED,1.804,-3.518,0.0,-13.8,DETECTED_EARLY,GENUINELY BAD SIGNAL (would have lost),0.906
2026-09-18,15:13:40,NIFTY,UP,MOMENTUM_EVENT,WEAK,MODE_A,False,CE 23400,False,WEAK_MOMENTUM;OPTION_NOT_RESPONDING,confirmation,-2.541,MOMENTUM_FAILURE,-0.353,-8.186,3.8,-12.4,DETECTED_LATE,GENUINELY BAD SIGNAL (would have lost),0.966
2026-09-18,15:18:35,NIFTY,DOWN,MOMENTUM_EVENT,WEAK,MODE_B,False,PE 23450,False,MODE_B_RESEARCH_ONLY;WEAK_MOMENTUM,expiry/time;confirmation,-1.331,EVENT_INVALIDATED,1.786,-2.486,5.4,-7.4,DETECTED_LATE,GENUINELY BAD SIGNAL (would have lost),1.31
2026-09-18,15:26:55,NIFTY,UP,MOMENTUM_EVENT,WEAK,MODE_B,False,CE 23400,False,MODE_B_RESEARCH_ONLY;WEAK_MOMENTUM,expiry/time;confirmation,-0.364,FUTURES_DIVERGENCE,2.185,-3.277,9.8,-4.0,DETECTED_EARLY,GENUINELY BAD SIGNAL (would have lost),6.688
2026-09-18,15:28:30,NIFTY,UP,CONTINUATION_EVENT,STRONG,MODE_B,False,CE 23450,False,MODE_B_RESEARCH_ONLY,expiry/time,-2.149,SESSION_END,0.512,-4.299,2.3,-5.5,DETECTED_LATE,GENUINELY BAD SIGNAL (would have lost),10.417
2026-09-18,14:55:40,SENSEX,DOWN,MOMENTUM_EVENT,WEAK,PRE,False,PE 74700,False,TIME_WINDOW_CLOSED;WEAK_MOMENTUM;OPTION_NOT_RESPONDING,expiry/time;confirmation,-0.037,FUTURES_DIVERGENCE,2.959,-3.481,45.55,0.0,DETECTED_EARLY,GENUINELY BAD SIGNAL (would have lost),0.496
2026-09-18,14:56:50,SENSEX,DOWN,MOMENTUM_EVENT,WEAK,PRE,False,PE 74700,False,TIME_WINDOW_CLOSED;WEAK_MOMENTUM;OPTION_NOT_RESPONDING,expiry/time;confirmation,-0.037,FUTURES_DIVERGENCE,3.974,-3.589,15.55,-30.0,DETECTED_LATE,GENUINELY BAD SIGNAL (would have lost),-0.279
2026-09-18,14:58:05,SENSEX,DOWN,CONTINUATION_EVENT,STRONG,PRE,False,PE 74700,False,TIME_WINDOW_CLOSED;OPTION_NOT_RESPONDING;NO_CONFIRMATION,expiry/time;confirmation,-2.936,MOMENTUM_FAILURE,2.875,-4.607,20.0,-30.0,DETECTED_LATE,GENUINELY BAD SIGNAL (would have lost),0.785
2026-09-18,14:59:05,SENSEX,DOWN,MOMENTUM_EVENT,WEAK,PRE,False,PE 74700,False,TIME_WINDOW_CLOSED;WEAK_MOMENTUM;OPTION_NOT_RESPONDING;NO_CONFIRMATION,expiry/time;confirmation,5.216,TARGET,6.513,0.089,23.25,-11.5,DETECTED_EARLY,MISSED PROFITABLE OPPORTUNITY,-2.571
2026-09-18,15:02:55,SENSEX,DOWN,MOMENTUM_EVENT,WEAK,MODE_A,False,PE 74600,False,WEAK_MOMENTUM;OPTION_NOT_RESPONDING,confirmation,1.348,TIME_EXIT,4.111,-1.851,0.0,0.0,NO_FOLLOW_THROUGH,PROFITABLE (other),0.307
2026-09-18,15:09:05,SENSEX,DOWN,MOMENTUM_EVENT,WEAK,MODE_A,False,PE 74600,False,WEAK_MOMENTUM,confirmation,-1.607,MOMENTUM_FAILURE,-0.128,-4.911,8.35,0.0,DETECTED_LATE,GENUINELY BAD SIGNAL (would have lost),1.322
2026-09-18,15:09:35,SENSEX,DOWN,CONTINUATION_EVENT,STRONG,MODE_A,False,PE 74700,False,NO_CONFIRMATION,confirmation,-0.126,TIME_EXIT,0.632,-3.493,8.35,-29.95,NO_FOLLOW_THROUGH,GENUINELY BAD SIGNAL (would have lost),5.606
2026-09-18,15:10:35,SENSEX,DOWN,CONTINUATION_EVENT,STRONG,MODE_A,False,PE 74700,False,NO_CONFIRMATION,confirmation,0.0,TIME_EXIT,0.069,-4.833,0.0,-38.3,NO_FOLLOW_THROUGH,GENUINELY BAD SIGNAL (would have lost),3.394
2026-09-18,15:14:45,SENSEX,UP,MOMENTUM_EVENT,WEAK,MODE_A,False,CE 74800,False,WEAK_MOMENTUM;OPTION_NOT_RESPONDING,confirmation,1.351,MOMENTUM_FADE,2.872,-2.303,14.95,0.0,DETECTED_LATE,PROFITABLE BUT LATE,0.176
2026-09-18,15:22:05,SENSEX,DOWN,MOMENTUM_EVENT,STRONG,MODE_B,False,PE 74700,False,MODE_B_RESEARCH_ONLY;OPTION_NOT_RESPONDING,expiry/time;confirmation,1.636,TIME_EXIT,1.636,-4.837,6.6,-2.4,DETECTED_LATE,PROFITABLE BUT LATE,-1.083
2026-09-18,15:23:05,SENSEX,DOWN,CONTINUATION_EVENT,STRONG,MODE_B,False,PE 74600,False,MODE_B_RESEARCH_ONLY,expiry/time,-1.63,TIME_EXIT,0.652,-7.251,0.0,-44.15,NO_FOLLOW_THROUGH,GENUINELY BAD SIGNAL (would have lost),2.134
2026-09-18,15:24:05,SENSEX,DOWN,CONTINUATION_EVENT,STRONG,MODE_B,False,PE 74700,False,MODE_B_RESEARCH_ONLY;OPTION_NOT_RESPONDING;NO_CONFIRMATION,expiry/time;confirmation,-1.86,MOMENTUM_FAILURE,-0.344,-7.416,0.0,-44.15,NO_FOLLOW_THROUGH,GENUINELY BAD SIGNAL (would have lost),0.529
2026-09-18,15:27:45,SENSEX,UP,MOMENTUM_EVENT,STRONG,MODE_B,False,CE 74700,False,MODE_B_RESEARCH_ONLY,expiry/time,-0.588,MOMENTUM_FAILURE,-0.261,-3.228,0.0,-17.75,NO_FOLLOW_THROUGH,GENUINELY BAD SIGNAL (would have lost),1.315
