date,time,symbol,direction,event_type,strength,mode,window,expiry_day,passed_gates,reasons,first_gate,all_gates,traded_lots,traded_units,category,timing,cf_pnl,cf_exit_reason,mfe,mae,t_mfe,spread,detect_after_start_s,remaining_at_entry,fut_r30,fut_accel,displacement,ce_ret30,pe_ret30,ce_acc,pe_acc,sel_spread,sel_volume30,sel_oi_change30,option_response,response_latency_s,risk_blocked
2026-09-18,14:56:50,SENSEX,DOWN,MOMENTUM_EVENT,WEAK,PRE,PRE 14:55-15:00,False,False,TIME_WINDOW_CLOSED;WEAK_MOMENTUM;OPTION_NOT_RESPONDING,WINDOW,WINDOW;CONFIRMATION;OPTION_RESPONSE,False,False,GENUINELY_BAD_SIGNAL,DETECTED_LATE,-0.03725319756611878,FUTURES_DIVERGENCE,3.9736744070532724,-3.5887246988699837,255.0,0.1491,35.0,0.34138309549949325,-30.0,-30.0,-30.0,0.5892155695750425,-0.27875859505668094,-0.5179920695330094,0.14233279542023053,0.1988,16880.0,13320.0,-0.27875859505668094,,False
2026-09-18,14:57:30,NIFTY,DOWN,MOMENTUM_EVENT,STRONG,PRE,PRE 14:55-15:00,False,False,TIME_WINDOW_CLOSED,WINDOW,WINDOW,False,False,GENUINELY_BAD_SIGNAL,DETECTED_LATE,-0.14792899408284582,EVENT_INVALIDATED,4.585798816568039,-6.065088757396455,215.0,0.2469,35.0,0.37606837606838006,-14.5,-1.3000000000029104,-14.5,-2.0890937019969313,1.8063221274460584,4.149209011646889,-2.600461458009247,0.1971,724230.0,0.0,1.8063221274460584,5,False
2026-09-18,14:58:05,SENSEX,DOWN,CONTINUATION_EVENT,STRONG,PRE,PRE 14:55-15:00,False,False,TIME_WINDOW_CLOSED;OPTION_NOT_RESPONDING;NO_CONFIRMATION,WINDOW,WINDOW;CONFIRMATION;OPTION_RESPONSE,False,False,GENUINELY_BAD_SIGNAL,DETECTED_LATE,-2.936478682884873,MOMENTUM_FAILURE,2.8750460744563187,-4.607445632141541,180.0,0.2337,185.0,0.2559181062060331,0.0,0.0,-58.14999999999418,0.10178421745898968,-0.36954915003695493,0.3895281994975681,-0.32036092572944075,0.1731,25920.0,0.0,0.7850467289719569,,False
2026-09-18,14:58:45,NIFTY,UP,REVERSAL_EVENT,WEAK,PRE,PRE 14:55-15:00,False,False,TIME_WINDOW_CLOSED;WEAK_MOMENTUM;NO_CONFIRMATION,WINDOW,WINDOW;CONFIRMATION,False,False,GENUINELY_BAD_SIGNAL,DETECTED_EARLY,-0.1622060016220623,FUTURES_DIVERGENCE,0.24330900243308773,-15.085158150851576,10.0,0.3249,35.0,0.5933333333334303,9.599999999998545,-2.599999999998545,9.599999999998545,4.865718799368081,-3.7109855001228724,0.3216089920464076,-0.35425165888424925,0.2484,344240.0,41990.0,6.2472503299604,5,False
2026-09-18,14:59:05,SENSEX,DOWN,MOMENTUM_EVENT,WEAK,PRE,PRE 14:55-15:00,False,False,TIME_WINDOW_CLOSED;WEAK_MOMENTUM;OPTION_NOT_RESPONDING;NO_CONFIRMATION,WINDOW,WINDOW;CONFIRMATION;OPTION_RESPONSE,False,False,PROFITABLE_OPPORTUNITY,DETECTED_EARLY,5.215621422210914,TARGET,6.513166263834109,0.0890471950133484,120.0,0.1018,35.0,0.695,-26.75,26.75,-26.75,2.845793561392067,-2.571428571428577,-4.383578735394148,4.3669519184970245,0.051,36480.0,0.0,-2.571428571428577,,False
2026-09-18,15:00:05,NIFTY,DOWN,REVERSAL_EVENT,WEAK,MODE_A,15:00-15:03,False,False,WEAK_MOMENTUM,CONFIRMATION,CONFIRMATION,False,False,PROFITABLE_OPPORTUNITY,DETECTED_EARLY,1.427469135802465,TRAIL_STOP,4.320987654320983,0.03858024691358902,60.0,0.2704,35.0,0.6057347670250588,-11.0,-8.80000000000291,-11.0,-4.1091781643671235,2.5700334104343354,-3.63858076250056,2.7783866206983276,0.1958,87750.0,-21190.0,2.797906602254424,30,False
2026-09-18,15:00:20,NIFTY,DOWN,MOMENTUM_EVENT,STRONG,MODE_A,15:00-15:03,False,True,RISK_TOO_LARGE,RISK,RISK,False,True,GENUINELY_BAD_SIGNAL,DETECTED_EARLY,-0.48402710551790895,FUTURES_DIVERGENCE,2.6621490803484993,-1.5972894482090914,45.0,0.1938,35.0,0.60820895522387,-13.0,6.80000000000291,-13.0,-6.794948887552622,5.556984821198874,0.8444383085390434,0.13072892268472414,0.1462,820885.0,0.0,5.556984821198874,15,True
2026-09-18,15:01:20,NIFTY,DOWN,CONTINUATION_EVENT,STRONG,MODE_A,15:00-15:03,False,True,RISK_TOO_LARGE,RISK,RISK,False,False,GENUINELY_BAD_SIGNAL,DETECTED_LATE,-1.068479844584758,EVENT_INVALIDATED,3.0111704711024716,-1.6027197668771302,250.0,0.1458,185.0,0.09452736318415884,-7.599999999998545,11.0,-18.19999999999709,-2.280237937871789,1.7505995203836957,-2.149514612336801,2.283505246776384,0.2357,1330485.0,0.0,5.102799108248705,25,True
2026-09-18,15:02:20,NIFTY,DOWN,CONTINUATION_EVENT,STRONG,MODE_A,15:00-15:03,False,False,NO_CONFIRMATION,CONFIRMATION,CONFIRMATION,False,False,GENUINELY_BAD_SIGNAL,DETECTED_LATE,-0.5760921747479678,TIME_EXIT,1.824291886701864,-2.7364378300528167,190.0,0.2885,185.0,0.29655172413788083,6.799999999999272,3.399999999997817,-20.0,1.8469656992084509,-1.3672343487646892,1.9135489998250117,-1.4148738576900615,0.2918,457990.0,0.0,5.62548163370151,,False
2026-09-18,15:02:55,SENSEX,DOWN,MOMENTUM_EVENT,WEAK,MODE_A,15:00-15:03,False,False,WEAK_MOMENTUM;OPTION_NOT_RESPONDING,CONFIRMATION,CONFIRMATION;OPTION_RESPONSE,False,False,NO_FOLLOW_THROUGH,NO_FOLLOW_THROUGH,1.3476722025592127,TIME_EXIT,4.111080860332144,-1.8513476722025624,300.0,0.218,35.0,0.0,-34.75,-34.75,-34.75,-0.09130752373995618,0.1273576323609624,0.5546809859167964,-1.3358695080284253,0.2179,15620.0,0.0,0.3073140749846343,,False
2026-09-18,15:03:30,NIFTY,UP,REVERSAL_EVENT,WEAK,MODE_A,15:03-15:06,False,False,WEAK_MOMENTUM,CONFIRMATION,CONFIRMATION,False,False,GENUINELY_BAD_SIGNAL,DETECTED_LATE,-0.1311475409835991,EVENT_INVALIDATED,0.7213114754098323,-9.442622950819676,40.0,0.1969,35.0,0.35294117647058826,8.400000000001455,3.400000000001455,8.400000000001455,1.3725490196078394,-1.0439427045399259,0.256924132452248,0.26449206488208055,0.2579,499915.0,0.0,1.3725490196078394,20,False
2026-09-18,15:04:35,NIFTY,DOWN,REVERSAL_EVENT,WEAK,MODE_A,15:03-15:06,False,False,WEAK_MOMENTUM;NO_CONFIRMATION,CONFIRMATION,CONFIRMATION,False,False,PROFITABLE_OPPORTUNITY,DETECTED_EARLY,0.43451272501552896,EVENT_INVALIDATED,8.44196151458721,-3.3519553072625734,265.0,0.1864,35.0,0.5808080808081022,-7.799999999999272,7.799999999999272,-7.799999999999272,-1.5655577299412953,1.1870155038759636,-2.21172353010535,1.7727190543991571,0.1871,366990.0,0.0,1.3590391908976016,30,False
