date,symbol,time,i,dir,family,mode,window,expiry,approved,reasons,approved_v1,reasons_v1,anat_onset_to_det_s,anat_pre_fut,anat_fut_mfe_after,anat_fut_consumed,anat_pre_opt,anat_opt_mfe_after,anat_opt_consumed,anat_det_to_entry_opt,anat_t_fut_peak_after_det,anat_resp_f_before_det,anat_resp_o_before_det,anat_resp_lag_bars,anat_acc_both_before,anat_cls,anat_fade,anat_fade_ratio,sim5_entry_ask,sim5_spread_in,sim5_spread_out,sim5_pnl,sim5_reason,sim5_hold,sim5_peak,sim5_mfe,sim5_mae,sim5_t_mfe,sim5_t_mae,sim5_capture,sim5_plan_ask
2026-09-17,NIFTY,15:08:05,156,-1,D_UNDERLYING_LEADS,MODE_A,15:06-15:09,False,False,"['NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",False,"['NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",20,3.0500000000029104,6.349999999998545,0.3244680851066424,4.090706980880386,2.691157624946609,0.6031832274217979,-1.4523707817172173,255,True,True,-5,True,OPTION_LEAD,False,0.36956521739130543,115.4,0.0867,0.1726,0.3466204506065784,EVENT_INVALIDATED,10.0,0.8665511265164645,4.072790294627373,-1.5597920277296458,230.0,25.0,0.0851063829787218,117.15
2026-09-17,NIFTY,15:08:15,158,1,C_OPTION_LEADS,MODE_A,15:06-15:09,False,True,[],True,[],20,3.75,1.0499999999992724,0.7812500000001185,0.9450549450549475,2.9827999129109486,0.24060332655579836,-0.3483561942085832,130,True,False,2,False,SYNCHRONIZED,False,0.3720930232558183,114.55,0.2185,0.2159,0.9602793539938965,MOMENTUM_FADE,60.0,2.0951549541684904,4.975993016150156,-0.0872981230903486,300.0,70.0,0.19298245614035225,114.9
2026-09-17,NIFTY,15:12:00,203,-1,D_UNDERLYING_LEADS,MODE_A,15:12-15:15,False,False,['NOT_EARLY'],True,[],40,4.75,2.0,0.7037037037037037,2.0598853259715537,0.041614648356219024,0.9801976450799003,-0.8739076154806587,20,True,True,0,False,SYNCHRONIZED,False,0.44444444444444636,119.25,0.2519,0.0848,-1.174004192872122,EVENT_INVALIDATED,5.0,0.0,-0.796645702306082,-11.530398322851152,10.0,280.0,,120.3
2026-09-17,NIFTY,15:12:15,206,1,E_BOTH_CONFIRM,MODE_A,15:12-15:15,False,True,[],True,[],10,3.8000000000029104,13.94999999999709,0.2140845070424175,1.4619245036002593,6.623655913978498,0.18080637729134544,0.6666666666666715,275,True,False,1,False,SYNCHRONIZED,False,0.0,117.15,0.2136,0.2135,-0.17072129748186327,EVENT_INVALIDATED,5.0,0.0,5.7618437900128034,-0.5121638924455898,135.0,35.0,-0.02962962962963005,116.35
2026-09-17,NIFTY,15:12:40,211,1,B_ACCELERATION,MODE_A,15:12-15:15,False,False,['OPTION_NOT_RESPONDING'],False,"['NOT_EARLY', 'OPTION_NOT_RESPONDING']",20,7.200000000000728,11.549999999999272,0.3840000000000388,2.836569932358717,5.198387438998515,0.3530286224629435,-0.1909611712285241,250,True,True,-2,True,SYNCHRONIZED,False,0.17687074829932142,117.7,0.1701,0.2125,-0.16992353440951813,EVENT_INVALIDATED,5.0,0.0,5.26762956669499,-0.9770603228547201,110.0,10.0,-0.032258064516129475,117.95
2026-09-17,NIFTY,15:13:20,219,1,C_OPTION_LEADS,MODE_A,15:12-15:15,False,False,['NOT_EARLY'],False,['NOT_EARLY'],60,7.549999999999272,11.200000000000728,0.40266666666662787,2.8866867729427046,3.8107202680066976,0.4310155789088037,0.3768844221105432,210,True,True,0,True,SYNCHRONIZED,False,0.12643678160919777,119.95,0.1669,0.2466,1.2922050854522693,TRAIL_STOP,75.0,3.293038766152566,3.293038766152566,-0.9170487703209742,70.0,95.0,0.3924050632911382,119.55
2026-09-17,NIFTY,15:13:25,220,1,E_BOTH_CONFIRM,MODE_A,15:12-15:15,False,False,['NOT_EARLY'],False,['NOT_EARLY'],55,8.450000000000728,8.200000000000728,0.5075075075075068,3.2147449635662233,2.948504983388702,0.5215989926150133,-0.14534883720931174,205,True,True,5,True,UNDERLYING_LEAD,False,0.0466666666666697,120.35,0.2079,0.252,-1.2048192771084245,MOMENTUM_FAILURE,30.0,0.0,2.949729954299968,-1.2463647694225177,65.0,90.0,-0.4084507042253477,120.55
2026-09-17,NIFTY,15:14:35,234,1,A_EARLY_MOMENTUM,MODE_A,15:12-15:15,False,True,[],True,[],15,5.94999999999709,4.150000000001455,0.5891089108908858,3.4439311213775796,0.649614291514411,0.841307662187269,-1.2180267965895248,135,True,True,-1,False,SYNCHRONIZED,False,0.46938775510203967,121.8,0.2466,0.2477,-0.6978653530377622,EVENT_INVALIDATED,10.0,0.4926108374384307,1.0673234811165822,-2.4220032840722516,285.0,20.0,-0.653846153846151,123.3
2026-09-17,NIFTY,15:14:40,235,1,E_BOTH_CONFIRM,MODE_A,15:12-15:15,False,True,[],False,['NOT_EARLY'],20,7.049999999999272,3.0499999999992724,0.6980198019802265,4.115917681646372,0.0,1.0,-1.1496571198063712,130,True,True,-1,True,SYNCHRONIZED,False,0.29081632653061135,122.65,0.204,0.2477,-1.386057888300043,UNDERLYING_INVALIDATION,5.0,0.0,0.3668976763147074,-3.0982470444353942,280.0,15.0,-3.7777777777778794,124.0
2026-09-17,NIFTY,15:14:45,236,-1,C_OPTION_LEADS,MODE_A,15:12-15:15,False,False,['NO_DIRECTIONAL_AGREEMENT'],False,['NO_DIRECTIONAL_AGREEMENT'],5,0.8500000000021828,4.19999999999709,0.1683168316836248,1.794753796594559,2.1247739602170057,0.4579005196418216,0.22603978300180833,200,False,False,,False,FALSE_OPTION_MOVE,False,0.0,110.95,0.1804,0.2367,-4.912122577737723,UNDERLYING_INVALIDATION,115.0,1.7575484452456085,1.7575484452456085,-4.912122577737723,10.0,115.0,-2.794871794871793,110.7
2026-09-17,NIFTY,15:14:50,237,1,D_UNDERLYING_LEADS,MODE_A,15:12-15:15,False,False,"['NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",False,"['NOT_EARLY', 'NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",30,6.349999999998545,3.75,0.6287128712870752,2.918941621167584,0.5713119771475117,0.8363121873369574,-1.5302999387880025,120,True,True,-1,True,SYNCHRONIZED,True,0.6734693877551007,120.8,0.2487,0.2521,-1.6142384105960288,UNDERLYING_INVALIDATION,5.0,0.0,1.9039735099337725,-1.6142384105960288,270.0,5.0,-0.8478260869565241,122.65
